Token,Frequency
", ",230
 ,124
uh,28
víš,27
ehm,25
já,23
vy,20
eh,19
a,17
jo,16
um,13
vědí,13
jako,12
 ty víš ,11
. ,10
to,10
",",9
you,7
myslím,6
the,5
well,5
-,5
no,4
my,4
know,4
uh-huh,3
je,3
on,3
ach,3
i,3
or,3
co,3
 ehm ,2
yeah,2
in,2
jo ,2
j,2
 já ,2
jestli,2
do,2
of,2
jsou,2
that,2
and,2
nebo,2
„,2
"“, ",2
ty,2
by,2
about,2
if,2
hádám,2
můžete,2
jsme,2
ne,2
snažíme se,2
" a, ",2
spoustu,2
pečuji,2
", cokoli, co vychází z komína, nebo z budovy, nebo, ehm",2
podívejte,2
"no, samozřejmě, to je ",1
" je to jedna z posledních věcí na světě, které bys kdy chtěl udělat ",1
 ledaže je to prostě ,1
 opravdu ,1
" a, ehm, pro ně ",1
ty víš ,1
" je něco jiného, co jsme mohli udělat ",1
" při prověřování všech těch míst, která, ehm, by mohla být k dispozici. samozřejmě ",1
" není jedno na každém rohu, zejména ",1
for,1
t,1
 t edy ,1
" pro někoho, kdo je ",1
 po většinu svého života měl ,1
 jo ,1
" no, s mojí ",1
 s mou babičkou myslím že to bylo ,1
 bylo to takové že ,1
"ehm, já ",1
" myslím, že co jedna věc, která je pravděpodobně znepokojovala, byla skutečnost, že to nebylo nutně ",1
myslím ,1
já myslím ,1
" myslím, ty víš pro sebe já ",1
 vidím to jako pravděpodobně to ,1
 to ,1
" ale, ehm, já ",1
" myslím, že ",1
 my vždy ,1
 j edy ,1
 já jsem ,1
 já jsem měl spoustu dobrých zkušeností s ,1
" ehm, s mnoha mnoha lidmi, zejména tam, kde měli, ehm, rozšířenou rodinu. a já ",1
 a já ,1
 tak nějak vidím to ,1
" že, ty víš ",1
 možná ,1
 bychom se mohli potřebovat jako přiblížit k rodinnému prostředí a a dostat se k hodnotám ,1
"ehm, měním se. ",1
", nosím obleky, nosím sukně a svetry. při příležitosti můžu nosit džíny. ",1
"ehm, víš",1
"já, víš",1
" to nikam nedojde, že to bude jen nuda. takže ",1
byla,1
 mám tendenci ,1
" občas přehánět, když mi někdo říká, že je to skvělé. ",1
 a ,1
" věc je, ",1
znamená,1
hrát hlavní roli,1
opravdu,1
chtěl,1
ať,1
už,1
" získal všechny druhy ocenění nebo ať to jen bylo v pořádku na kinech, myslím, že by byl šťastný. protože ",1
", že ",1
 odvedl dobrou práci ,1
tak,1
" o konspiračních teoriích cia nebo čemkoli, by takové strany chtěly dělat bez vašeho vědomí. takže existují věci, které narušují ten druhý typ soukromí, kde víte o nich a možná i věci, které narušují ten druhý typ soukromí bez vašeho vědomí, a nemůžu mluvit o tom druhém jinak než ",1
druhý pohled na to by mohl být ,1
so,1
 nebo pokud moje sazba hovorů ,1
 osmi ,1
" nebo tak týden vzrostla ještě výš, protože, ",1
", někdo ",1
" and, ",1
", jeden z problémů s databází lotus byl, ",1
", že to byl nekontrolovaný přístup k tomu, kdo by měl ty informace. ",1
" řekli, že by ji poskytli pouze vybraným společnostem ",1
mean,1
"bylo by to pirátské a stejně by se nikdo neobtěžoval to pečlivě kontrolovat u někoho, kdo nabízí, víš, plnou hotovostní cenu za to.",1
vědět,1
dostat se,1
 sneak thief (skrytým zlodějem) a najednou ,1
"já jsem také o tom přemýšlel, ",1
 o,1
", porušujete ",1
social,1
", lidé vám začnou věnovat velmi velkou pozornost a začnou se ptát a v tom smyslu ",1
", narušují vaši soukromí, i když, pokud víte, jaké jsou sociální normy ",1
th-,1
kde,1
class-,1
nor-,1
any,1
anyone,1
ale,1
nemůžeš,1
hej,1
bože,1
oh,1
bylo,1
souhlasím s tebou,1
", pokud se nesnaží mě do toho vtáhnout a zatáhnout mě do toho. ",1
"a já se mi nelíbí způsob, jakým to dělají",1
", je to jejich mise, že to dělají. cházejí od domu k domu a jdou ven do veřejnosti a skutečně mají ",1
řekl,1
", já nevím, prostě ",1
", i když je ",1
lidí přicházejících ke mně k mým dveřím,1
zkusit,1
"přimět mě k tomu, abych se připojil",1
stal se,1
zájemcem,1
"to je pravda, ",1
" tak daleko, ale, ",1
" pravděpodobně bych mohl udělat to samé, ",1
", já nemám bouřkové dveře, ale jsem si jistý, že bych mohl něco zařídit. ale ",1
", já nemyslím, že by to zastavilo lidi. ",1
"je to jako oni vidí to slovo a říká to jdi, místo zastavit. ",1
" že ten druh dotkl nervu přímo tam, ale ",1
", my jsme se dostali k mluvení o, ",1
-uh,1
she,1
-you,1
"- my jsme mohli posílat její zprávy, ",1
víte,1
is,1
this,1
was,1
back,1
when,1
even,1
would,1
say,1
ten,1
fifteen,1
years,1
ago,1
piece,1
music,1
think,1
the parallel ,1
" posloucháte hodně, ",1
will,1
"opravdu to není world music. ale, ",1
 paul simon dělá ,1
že,1
 eklektické ,1
syntézy,1
takový,1
 jinou publikum ,1
řekněme,1
nejlepší,1
příklad,1
říct,1
then,1
" vlastnosti, a pak aplikovat, ve stylech, ",1
sedli,1
do-,1
naše,1
píšeme,1
každý,1
zůstávám,1
wi-,1
zůstat,1
něja-,1
jste,1
"to, ",1
", letos. naplánovali jsme si do rozpočtu peníze, které ",1
 utratit,1
které jsme,1
děláme,1
 jsme ,1
" udělali jsme, ",1
", účet coda s t i, kam ",1
han-,1
", společnost john hancock, a jejich agent provedl dlouhodobou analýzu založenou na platu a, ",1
jen,1
náš,1
", a ",1
" určil, kolik ",1
 potřebujeme,1
správně,1
", kdyby se mu, ",1
" něco stalo, nezůstal bych v texasu, já bych, ",1
", prodal dům a přestěhoval se zpátky domů ",1
" do svého rodného města, ",1
", nezůstal bych tady v texasu, takže ",1
nemám,1
 mám širokou škálu ,1
mé,1
te,1
společenství,1
 státu,1
 je,1
hezké,1
", trochu zvláštní, protože ",1
"předpokládám, že ne tolik knih, i když někdy mívají manuály a podobné věci, ale, ",1
", byly by to věci o tom, ",1
 jak být úspěšný a jak si tak nějak mluvit sám se sebou ,1
 dostat,1
"myslím, že s tím měli loni v létě problém, nosili tyhle kraťasy, které byly ",1
 ty opravdu široké plné ,1
protože-,1
" můžu toho udělat mnohem víc, když jsem oblečená pohodlně ",1
nikdy,1
. ale půjdu dovnitř v kalhotách. ,1
 tvých obleků pro úspěch v podnikání každý den ,1
" nevím, jestli ano, nebo ne. ",1
" vidím spoustu manažerů a jsou v džínách, takže ",1
