Token,Frequency
", ",126
 ,87
wissen,14
sie,14
ähm,12
ich,9
und,6
äh,5
 you know ,3
ja,3
nun,3
. ,3
es,2
 weisst ,2
weisst ,2
denke,2
dass,2
also,1
 ist,1
du,1
" , es ist eines der letzten paar dinge in der welt, die du jemals wollen würdest zu tun ",1
" , du ",1
 . unless es ist einfach,1
",",1
 du,1
" and , uh for their ",1
 uh du weisst ,1
 und ,1
" , uh ",1
 du ,1
 überprüfen sie sie. ,1
", oder, hatte t-, meine mutter in ein pflegeheim zu bringen. sie hatte einen eher massiven schlaganfall about ",1
uh-huh ,1
 yeah ,1
" , wahrscheinlich das härteste ding in ",1
" in meiner familie, uh, meine großmutter, sie musste in ein pflegeheim getan werden und, um, sie hatte den rollator benutzt for ",1
i,1
 mean ,1
" , sie tr- ",1
 i ,1
 one thing das sie sich wahrscheinlich sorgen machten war die tatsache es war nicht notwendigerweise ,1
 for myself i ,1
 i see das als wahrscheinlich the ,1
 the ,1
 we ,1
 that you know ,1
 perhaps ,1
 wir könnten brauchen like nah zu kommen zur familienumgebung and und runter zu kommen zu den werten von ,1
", ich trage anzüge, röcke und pullover. gelegentlich kann ich jeans tragen. ",1
un,1
untypisch,1
für,1
diese,1
jahreszeit,1
überzureagieren,1
wenn,1
egal,1
diejenigen,1
meine,1
oder,1
aber,1
zu,1
überprüfen,1
mhm,1
gibt,1
