Token,Frequency
", ",428
you,121
know,110
uh,97
i,86
um,44
yeah,28
and,27
like,25
mean,22
. ,21
it,20
that,17
we,16
well,14
the,13
's,11
think,11
to,9
was,8
oh,8
of,8
n't,7
is,6
with,6
what,6
if,6
guess,5
uh-huh,5
would,5
do,5
or,5
say,5
she,4
they,4
a,4
've,4
see,4
about,3
not,3
in,3
my,3
lot,3
just,3
he,3
are,3
have,3
our,3
're,3
for,2
had,2
so,2
may,2
really,2
then,2
ca,2
no,2
let,2
stay,2
their,1
needed,1
be,1
tr-,1
has,1
har-,1
truly,1
di-,1
how,1
which,1
more,1
always,1
many,1
bought,1
un-,1
w-,1
whether,1
t-,1
but,1
social,1
invite-,1
invade,1
th-,1
feel,1
where,1
class-,1
nor-,1
any,1
anyone,1
hey,1
gosh,1
goodness,1
got,1
this,1
back,1
when,1
even,1
ten,1
fifteen,1
years,1
ago,1
piece,1
music,1
will,1
there,1
call,1
best,1
example,1
could,1
those,1
sat,1
dow-,1
write,1
down,1
each,1
wi-,1
some-,1
been,1
trying,1
used,1
spend,1
doing,1
worked,1
han-,1
were,1
pla-,1
set,1
up,1
need,1
right,1
co-,1
pretty,1
alwa-,1
ge-,1
your,1
becau-,1
can,1
never,1
taking,1
god,1
forbid,1
tha-,1
ne-,1
