Token,Frequency
", ",71
uh,62
 ,60
um,20
yeah,20
you,20
ya sabes,19
eh,17
yo,15
know,15
i,14
and,9
sabes,8
sí,8
quiero decir,6
oh,6
creo,5
tú,5
bueno,4
. ,4
" tú sabes, ",4
no,4
like,4
do,4
n't,4
como,3
el,3
nosotros,3
con,3
",",3
uh-huh,3
say,3
es,3
we,3
ellos,2
que,2
era realmente,2
cómo lo,2
y yo,2
the,2
or,2
that,2
have,2
goodness,2
you know,2
well,2
if,2
mean,2
qué,2
i guess,2
ajá,1
en,1
ella,1
ella tenía,1
tenía,1
entonces,1
"entonces, ",1
creo que,1
que es,1
 lo único ,1
" les preocupaba probablemente era el hecho de que no era necesariamente, ",1
creo que tú sabés,1
es interesante que,1
más y más,1
nosotros no,1
pero,1
yo creo que,1
nosotros siempre,1
veo que,1
quizá,1
creo que quizá no,1
quizá sea eso,1
eso podría,1
" no iba a llegar a ningún lado, que iba a ser un fracaso. entonces, ello ",1
 sobre-reaccionar ocasionalmente cuando alguien me dice que es tan genial. y ,1
" y ello fue, ",1
" no hay realmente ninguna, uh, sangre y tripas ni nada de eso. es ",1
" es más suspenso. um, la otra, el silencio de los inocentes, es un poco una ",1
" una película gore, si ",1
 si a alguien no le gusta ese tipo de cosas. es ,1
" decían que la darían solo a compañías selectas pero, um ",1
 y ,1
" invadiendo tu privacidad aunque, si sabes cuáles son las normas sociales ",1
class-,1
" otro ejemplo clásico, el testigo de jehová ",1
" o los mormones o alguien tocando a la puerta, ",1
", lo cual es más intrusivo porque tengo que decirle realmente a alguien que se vaya. y hay esa sensación de, he abierto mi puerta, ahora ven cómo luzco, cómo vivo ",1
cualquier,1
cualquiera,1
ca,1
" no puedes realmente detener a esas personas de venir alrededor incluso aunque ellos pongan señales afuera que dicen no solicitudes, ",1
" pero ellos todavía llegan hasta la puerta principal y, ",1
 caminan alrededor. así que usualmente lo que hago es ,1
 llamar al administrador del apartamento y decirles ,1
 hay personas viniendo alrededor ,1
gosh,1
what,1
was,1
it,1
would,1
to,1
in,1
" en mi carro, así que, ",1
" tiendo a ser una de esas personas que cambia de estaciones mucho porque no me gustan los comerciales. but, ",1
" no tengo realmente nada en contra de la música rap. yo, lo único que objetó sobre la música rap ",1
" cuando se vuelve militante, o si es ",1
umm,1
esto,1
 era sobre ,1
" acerca de cuarenta o cincuenta años. y, fue increíble ",1
will,1
realmente,1
paul simon está haciendo,1
pienso,1
 usando ,1
supongo,1
llaman,1
eso,1
dibujando,1
with,1
and then,1
've,1
we've,1
sat,1
dow,1
", hemos establecido un presupuesto para cada ",1
our,1
", nuestro propio dinero para diversión y cosas así y luego ",1
so,1
me quedo,1
wi,1
"tengo que mantenerme dentro de ello, así que yo ",1
un presupuesto para ,1
estás,1
"um, tenemos clientes que, ",1
", sus preocupaciones estan en el lugar de trabajo y nosotros nos encargamos de eso, pero, dentro de nuestro departamento. no es encargamos de todo. agua residual, ",1
