Token,Frequency
", ",181
 ,74
tu,36
sais,35
euh,34
uh,14
je,11
genre,10
ouais,8
eum,8
you,7
know,7
. ,7
et,7
um,6
ça,6
c'est,5
you know,4
with,4
oh,4
not,3
i,3
mean,3
that,3
pense,3
bon,3
well,2
and,2
très,2
place,2
we,2
avait,2
they,2
",",2
may,2
nous,2
 on ,2
ce,2
on,2
notre,2
en,2
veux,2
dire,2
si,2
écoute,2
les,2
it,1
's,1
 c'est juste ,1
their,1
them,1
out,1
had,1
about,1
", un avc plutôt massif ",1
", il y a ",1
needed to be,1
could,1
i mean,1
like,1
"en vérifiant tous les endroits que, ",1
 pourraient être disponibles. de ,1
uh-huh,1
dans,1
pendant,1
moyen,1
tr,1
elle,1
so,1
"
",1
c'était tel que,1
le,1
ce sur quoi tout reposerait,1
que,1
qu'une,1
grande,1
partie,1
think,1
i think,1
that may be,1
perhaps,1
that may,1
avons,1
essayé,1
", on",1
utilisions,1
pour,1
dépenser,1
" on a fait le, ",1
", compte coda avec t i où ",1
han-,1
qu,1
pla-,1
mm-hmm,1
juste,1
mis,1
a,1
besoin,1
il,1
j'ai,1
pas,1
 j'ai une grande variété ,1
" de passe-temps, donc, ",1
 mes plaisirs de lecture sont assez larges. ,1
", je tire un plaisir de, ",1
", texas highway, qui est, ",1
", très coloré, et, ",1
", n'étant pas natif du texas, mais étant ici depuis onze ans, j'ai tendance à, ",1
", découvrir ",1
", les différents endroits ",1
oui,1
assez,1
beaucoup,1
de,1
tou-,1
suppose,1
comment,1
gé-,1
route,1
parc-,1
moi,1
fais,1
peux,1
jamais,1
pourraient,1
s'occuper,1
dieu,1
ne,1
veuillle,1
com-,1
ils,1
sont,1
nou-,1
" nouveau cd qui vient de sortir, mais ",1
 je ne l'achèterais pas. parce que ,1
", ce qui se passe, c'est que les vieux, ",1
" qua-, ",1
ou,1
