Token,Frequency
", ",168
sai,31
uh,26
tu,23
io,19
sì,16
 ,14
eh,11
um,7
e,7
beh,7
. ,6
tipo,6
non,5
uh-huh,3
che,3
o,3
ho,3
oh,3
dire,3
"e, ",3
no,2
direi,2
quello,2
noi,2
abbiamo,2
il,2
voglio,2
se,2
sono,2
immagino,2
vedi,2
"ci sono altre cose specifiche che, che ti senti come, dove, ",1
classe,1
"gli altri esempi classici, i testimoni di geova ",1
"o i mormoni o qualcuno che bussa alla porta d'ingresso, ",1
", che è più invadente perché devo davvero dire a qualcuno di andarsene. e c'è quella sensazione di, ora ho aperto la porta, ora vedono che aspetto ho, come vivo ",1
qualsiasi,1
chiunque,1
ehi,1
come,1
si,1
quella,1
mioddio,1
mia,1
lei,1
in,1
" macchina, quindi, ",1
"tendo ad essere una di quelle persone che cambia spesso stazione perché non mi piacciono le pubblicità. ma, ",1
è,1
questo,1
era,1
indietro,1
quando,1
anche,1
circa,1
dieci,1
quindici,1
anni,1
fa,1
il brano musicale aveva ,1
sarai,1
ci,1
molte,1
voglio dire,1
mi,1
 che sta facendo paul simon ,1
penso,1
sia,1
diciamo,1
 un altro pubblico ,1
migliore,1
esempio,1
potresti,1
poi,1
quelle,1
davvero,1
intendo,1
" abbiamo, ",1
", preso quanto abbiamo ",1
rimango,1
wi-,1
rimanere,1
qualche-,1
esso,1
per lo più quello che noi stiamo facendo,1
noi abbiamo lavorato,1
"abbiamo fatto il, eh, conto coda con t i dove loro ",1
"l’altra cosa che abbiamo fatto, quella",1
"che è stato davvero bello vedere, abbiamo avuto una delle società finanziarie, um, han-",1
"sembra interessante, non abbiamo mai fatto niente-, abbiamo, sai",1
solo il nostro,1
il nostro consulente per l’assicurazione sulla vita è venuto,1
"sai, e ha impostato",1
determinato quanto noi abbiamo bisogno di,1
giusto,1
"sai, se, venderei la",1
"sai, se, lui",1
"se gli succedesse qualcosa, non resterei in texas, io, ",1
", venderei la casa e tornerei a casa",1
sai ,1
" nella mia città natale, e",1
", non resterei qui in texas, quindi sai",1
"eh, non ho",1
una grande varietà di,1
"di hobby, quindi, i",1
"i miei piaceri di lettura sono piuttosto ampi. um, mi entusiasma, ",1
", texas highway, che è, eh, molto colorato, e, ",1
", non essendo un nativo del texas, ma essendo qui da undici anni tendo a, ",1
", scoprire il",1
", assolutamente, è fantastico il modo in cui è suddiviso e puoi, eh, organizzare piccoli viaggi e gite di un giorno e cose del genere. è abbastanza",1
piuttosto carino. ,1
", mi piace la fotografia, ",1
", le riviste. non faccio un abbonamento o cose del genere. ",1
", cose, oh, essendo un ingegnere nelle strutture leggo molto di",1
"molte, eh, riviste di edilizia e",1
e riviste di ingegneria degli impianti e leggo sui diversi modi di fare le cose e sulle riviste di gestione dell’energia e,1
", è un po’ strano perché io",1
"non è insolito, ",1
", vedere, ",1
libri di quel tipo. ,1
", in questo momento sto leggendo occasionalmente un libro su, ",1
"anche noi siamo un po’ così. cerco di, sono come te, cerco un po’ di giudicare giorno per giorno. so",1
dove sono lavoriamo molto con i clienti e abbiamo molti funzionari governativi che vengono sempre e,1
"lo sono. lavoro più velocemente, porto a termine le cose più velocemente, che quando indosso un vestito e i tacchi",1
"sai, io, ed è strano ma io",1
"è che io lo faccio,",1
posso fare molto di più se sono vestito comodo,1
vero,1
sì ,1
loro sono,1
"sono ancora in giro, hanno un nuo-",1
"nuovo cd fuori, ma io",1
"non lo comprerei. perché vedi, quello che succede è, i vecchi, vedi co-, io mi piacciono",1
