Token,Frequency
，,58
你,52
知道,51
呃,43
 ,29
我,27
uh,26
嗯,23
", ",14
我们,14
和,8
而且,8
是,7
像是,7
。,6
它,5
对,5
意思是,4
喜欢,4
是的,4
 uh,4
在,4
哦,4
看,4
他们,3
那个,3
很多,3
是啊,3
如果,3
需要,2
不是,2
认为,2
总是,2
与,2
我们的,2
有,2
我的,2
不错,2
那,2
会,2
负责,2
，当然，,1
这是世界上你想做的最后几件事之一,1
他们的,1
检查它们。,1
，我们的，有t-，把我母亲安置在养老院。她中风,1
猜,1
好吧,1
成为,1
不能再照顾自己了，被关在养老院一段时间，这真的不是一次很好的经历。,1
，它必須匆忙完成。,1
检查所有可能可用的地方，,1
。当然,1
可能是,1
中最困难的事情，,1
for,1
在他们生命中的大部分时间里,1
" uh,",1
给钱，还是它实际上参与了很多，决策,1
耶,1
我的意思是,1
她,1
真的,1
她真的意识到了。,1
uh-,1
如何,1
uh ,1
带着,1
哪个,1
他们关心的,1
 uh uh uh uh ,1
的,1
很有趣,1
美国的人口正在发生变化，因为,1
更多,1
不,1
很多人，特别是他们有,1
，大家庭。,1
也许,1
的价值观，,1
可能是，,1
也许如果我们把钱放在后面,1
一直,1
尝试,1
过去,1
用来,1
花,1
基本上,1
做,1
已经,1
做过,1
汉-,1
当时,1
计-,1
什么,1
就是,1
嗯哼,1
只是,1
安排,1
多少,1
，如果，,1
，如果他发生了什么事，我不会留在德克萨斯，我会，,1
，卖掉房子搬回家，,1
，回到我的家乡，,1
，我不会留在德克萨斯，所以,1
没,1
这个,1
想,1
比如,1
了,1
自己,1
让自己,1
因-,1
这,1
能,1
从不,1
会不会,1
上帝,1
保佑,1
那-,1
还,1
新-,1
translation 20,1
 using ,1
single underscores,1
" for disfluent tokens:

所以，就好像，七十年代什么都没发生。所有事情都发生在六十年代，七十年代我不知道他们叫什么，",1
，就 ,1
 八十年代被称为，,1
 进步的年代，,1
