ID,Language,Reason,EN_disfluent,Text
sw2005_B_2,CS,long_disfluency,"_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.","
No, samozřejmě, to je ,  ty víš ,  je to jedna z posledních věcí na světě, které bys kdy chtěl udělat ,  ty víš .  Ledaže je to prostě ,  ty víš ,  opravdu ,  ty víš ,  a, ehm, pro ně ,  ehm ,  ty víš ,  pro jejich vlastní dobro."
sw2005_B_2,DE,long_disfluency,"_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.","Also, natürlich, es  ist ,  du  weisst   , es ist eines der letzten paar Dinge in der Welt, die du jemals wollen würdest zu tun   , du  weisst   . Unless es ist einfach,   du   weisst   , wirklich,  du  weisst   and , uh for their   uh du weisst  , für ihr eigenes Wohl."
sw2005_B_2,HI,missing_underscores,"_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.","खैर, ज़ाहिर है, यह है, तुम्हें पता है, यह दुनिया की उन आख़िरी कुछ चीज़ों में से एक है जिन्हें तुम कभी करना चाहोगे, तुम्हें पता है। जब तक कि यह बस, तुम्हें पता है, सच में, तुम्हें पता है, और, उह, उनके, उह, तुम्हें पता है, उनके अपने भले के लिए न हो।"
sw2005_B_2,IT,missing_underscores,"_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.","
-Beh-, certo,- è... sai-... è una delle ultime cose al mondo che vorresti mai fare... -sai-... A meno che non sia solo... sai... davvero... -sai...  per il loro...... sai... per il loro bene."
sw2005_B_4,AR,missing_underscores,"I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.",كنتُ سأكون حذرًا جدًا جدًا و ـ آه ـ أنت تعرف ـ، في تفحُّصهم. آه، نحن، كان عند-، وضعنا أمي في دار رعاية. كانت قد أُصيبت بجلطة كبيرة نوعًا ما حوالي ـ آه، حوالي آه، قبل ثمانية أشهر أعتقد.
sw2005_B_4,DE,long_disfluency,"I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.","Ich wäre sehr sehr vorsichtig und   , uh   du  weisst   Überprüfen Sie sie. Uh, oder, hatte t-, meine Mutter in ein Pflegeheim zu bringen. Sie hatte einen eher massiven Schlaganfall about   , uh about uh , acht Monate her I guess."
sw2005_B_4,HI,missing_underscores,"I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.","मैं बहुत बहुत सावधान रहूँगा और, उह, तुम्हें पता है, उन्हें जाँचते हुए। उह, हमारी, करना प-, मेरी माँ को एक नर्सिंग होम में रखना पड़ा। उन्हें एक काफी बड़ा स्ट्रोक आया था लगभग, उह, लगभग उह, आठ महीने पहले मुझे लगता है।"
sw2005_B_4,IT,missing_underscores,"I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.","Starei molto, molto attento -e-, sai-, nel controllarli.  -nostra, ho dov-, sistemare mia madre in una casa di cura. Ha avuto un ictus piuttosto grave -circa, circa,  otto mesi fa, immagino."
sw2005_B_8,HI,missing_underscores,"So, I was very comfortable _, _ _you_ _know_ _, _ in doing it when it got to the point that we had to do it. But there's, _well_, I had an occasion for my mother-in-law who had fell and _needed_ _to_ _be_ _, _ _you_ _know_ _, _ could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. _Uh_, it had to be done in a hurry. _I_ _mean_ _, _ we didn't have _, _ _you_ _know_ _, _ _like_ six months to check all of these places out. And it was really _not_ _, _ not very good, _uh_, deal.","तो, मैं बहुत सहज था, तुम्हें पता है, इसे करने में जब बात उस मोड़ पर आ गई कि हमें यह करना ही था। लेकिन वहाँ है, खैर, मुझे अपनी सासू माँ के लिए एक मौका पड़ा था जो गिर गई थीं और जिन्हें ज़रूरत थी, तुम्हें पता है, खुद का ख्याल नहीं रख सकती थीं अब, कुछ समय के लिए एक नर्सिंग होम में सीमित थीं जो वास्तव में बहुत अच्छा अनुभव नहीं था। उह, इसे जल्दी में करना पड़ा। मेरा मतलब है, हमारे पास नहीं था, तुम्हें पता है, जैसे छह महीने इन सभी जगहों की जाँच करने के लिए। और यह वास्तव में नहीं, बहुत अच्छा नहीं, उह, सौदा था।"
sw2005_B_8,IT,missing_underscores,"So, I was very comfortable _, _ _you_ _know_ _, _ in doing it when it got to the point that we had to do it. But there's, _well_, I had an occasion for my mother-in-law who had fell and _needed_ _to_ _be_ _, _ _you_ _know_ _, _ could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. _Uh_, it had to be done in a hurry. _I_ _mean_ _, _ we didn't have _, _ _you_ _know_ _, _ _like_ six months to check all of these places out. And it was really _not_ _, _ not very good, _uh_, deal.","Quindi, ero molto a mio agio, -sai-, nel farlo quando siamo arrivati al punto in cui dovevamo farlo. Ma c'è, beh, ho avuto un caso con mia suocera che era caduta e aveva bisogno di essere, sai, non poteva più badare a se stessa, è stata confinata in una casa di cura per un po', il che non è stata davvero una bella esperienza. Ehm, bisognava fare in fretta. -Voglio dire-, non avevamo, sai, tipo sei mesi per controllare tutti questi posti. E non è stata davvero non, -non- una bella, - faccenda."
